Address,Lat,Long,PermitNo,Description,Link,Issued
11 Errol Street NORTH MELBOURNE VIC 3051,-37.804702,144.949032,TP-2015-53,Shop front alterations for the replacement of existing windows with new sashless window panels,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227412,Yes
505-515 Little Collins Street MELBOURNE VIC 3000,-37.8171492,144.9577154,TP-2015-42,Reduction of bicycle parking requirements (55 student spaces) associated with the use of the site as an (as of right) Education Centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227298,Yes
541-557 Lonsdale Street MELBOURNE VIC 3000,-37.8132507,144.9548994,TP-2014-582,Proposed building and works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216423,Yes
Kangan TAFE 2-48 Harbour Esplanade DOCKLANDS VIC 3008,-37.821836,144.948458,TP-2014-577,Buildings and works for a temporary marquee for the use as a function centre and associated business identification signage.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216441,Yes
17-65 Collins Street MELBOURNE VIC 3000,-37.8140079,144.9718431,TP-2014-578,Construction and display of a business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216442,Yes
10 Wellington Parade EAST MELBOURNE VIC 3002,-37.816622,144.989633,TP-2014-579,Demolition of existing building; construction and use of a multi-storey building for dwellings; reduction of three car parking spaces; variation of the bicycle facilities requirements; and use of the land located within the rail reserve (PUZ4) for the purpose of dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216449,No
139-155 Queensberry Street CARLTON VIC 3053,-37.804934,144.963896,TP-2014-580,Display of temporary signage publicising the sale of apartments on the subject land,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216450,No
"Unit 10, 100 Railway Place WEST MELBOURNE VIC 3003",-37.808563,144.943962,TP-2014-581,Partial demolition to existing dwelling and construction of alterations and additions to dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216451,Yes
"Shop 1, Ground 422-440 Elizabeth Street MELBOURNE VIC 3000",-37.808629,144.961007,TP-2014-567,Use of the land for a supermaket; buildings and works to construct alterations and additions to the existing building; and erect and display internally illuminated business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216347,Yes
Break Free (Heritage on Little Bourke) 318-322 Little Bourke Street MELBOURNE VIC 3000,-37.812926,144.963128,TP-2014-568,Buildings and works comprising the replacement of the existing retractable canopy.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216366,Yes
25-35 Little Collins Street MELBOURNE VIC 3000,-37.8127333,144.9720176,TPS-2014-25,Construction of a satellite dish,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216247,No
1-3 Peckville Street NORTH MELBOURNE VIC 3051,-37.7954838,144.9429623,TP-2014-571,Partial demolition and construction of alterations and additions to construct a new dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=216250,Yes
171-177 La Trobe Street MELBOURNE VIC 3000,-37.8094726,144.964511,TP-2014-1134,Change of use from office to minor recreation facility (Yoga and gym),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225969,No
Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,-37.8100247,144.9633992,TP-2014-1135,Use part of the land for the purposes of a childcare centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225972,Yes
864-892 Collins Street DOCKLANDS VIC 3008,-37.8208296,144.9479048,TP-2014-1136,Construction of buildings and works to facilitate a lighting display within the fa̤ade of the building approved under permit 2014/001612,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225973,No
58-64 A'Beckett Street MELBOURNE VIC 3000,-37.8090629,144.9614153,TPM-2010-29/B,"Demolition of the existing building and construction of a multi-storey building comprising of accommodation (residential apartments and serviced apartments) and retail premises (other than adult sex bookshop, department store, supermarket and tavern) DPCD no. 2010/026164A",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225992,No
University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,-37.7999598,144.9605636,TP-2014-1137,Use of part of the land for the purposes of a restaurant and a reduction in the associated car parking and bicycle facilities requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226017,Yes
47 Errol Street NORTH MELBOURNE VIC 3051,-37.803908,144.949051,TP-2005-466/A,Alterations to what the permit allows to read,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=226020,Yes
45-47 MacArthur Place South CARLTON VIC 3053,-37.798679,144.971189,TP-2014-1128,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225898,No
2-50 Elizabeth Street KENSINGTON VIC 3031,-37.7982162,144.9331712,TP-2014-1129,To use the land identified as Suite 2.02 as an indoor recreation facility (dance school),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225911,No
538-542 Little Collins Street MELBOURNE VIC 3000,-37.8170991,144.9568966,TP-2014-1130,Part demolition of and external alteration to the existing shopfront,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225914,Yes
613-639 Little Collins Street MELBOURNE VIC 3000,-37.8179434,144.9542002,TP-2014-1131,Bicycle parking waiver associated with an education centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225915,Yes
2 Little Baillie Street NORTH MELBOURNE VIC 3051,-37.801096,144.9465181,TP-2012-991,Installation of 12 solar panels to the roof of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189924,Yes
158-222 Salmon Street PORT MELBOURNE VIC 3207,-37.825902,144.923458,TP-2012-992,Construction of mezzanine levels to warehouses 4 and 8,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189927,Yes
479-495 La Trobe Street MELBOURNE VIC 3000,-37.812753,144.954952,TP-2012-993,"Partial demolition of existing ground-floor fa̤ade, construction of alterations and additions to shopfront and erection of internally-illuminated signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189928,Yes
141-143 Flinders Lane MELBOURNE VIC 3000,-37.815797,144.969881,TP-2012-994,Buildings and works to an existing building to allow for additional levels,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189929,No
Lantern 705-715 Collins Street DOCKLANDS VIC 3008,-37.8208296,144.9479048,TP-2012-981,Use of land as a Childcare Centre and associated buildings and works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189784,Yes
Hardimans Hotel 521-535 Macaulay Road KENSINGTON VIC 3031,-37.7942575,144.9283659,TP-2012-982,Demolition of the existing single storey brick shed and the construction of a fence and decking,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189788,Yes
544 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802632,144.949163,TP-2012-983,Demolition of rear toilet,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189790,Yes
53-75 Pelham Street CARLTON VIC 3053,-37.8030762,144.966879,TP-2012-984,Construction and display of business identification and promotional signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189814,Yes
359-373 Collins Street MELBOURNE VIC 3000,-37.8168928,144.9619951,TP-2012-985,Erection of business identification signage to awning,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189815,Yes
Queen Victoria Market 65-159 Victoria Street MELBOURNE VIC 3000,-37.806096,144.956211,TP-2012-986,External alterations to the existing windows,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=189816,Yes
Regent Theatre 191-197 Collins Street MELBOURNE VIC 3000,-37.815791,144.9678,TP-2015-207,Construction and display of a major promotion panel sign for a special event,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229926,Yes
College House Apartments 568-576 Swanston Street CARLTON VIC 3053,-37.8032267,144.9635841,TP-2015-206,Packaged liquor license request for an existing Convenience shop under 150sqm,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229918,Yes
Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,-37.8100247,144.9633992,TP-2015-198,Construction of buildings and works assoicated with a new tenancy and the construction and display of an internally illuminated business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229803,Yes
24 Brougham Street NORTH MELBOURNE VIC 3051,-37.793437,144.945483,TP-2015-200,Demolition of existing building to construct five new double storey town houses and associated building and works including construction of new vehicle crossovers,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229834,No
192-200 Arden Street NORTH MELBOURNE VIC 3051,-37.80001,144.944547,TP-2015-201,Use of part of the land as an education centre associated with the existing office use,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229838,Yes
360-374 Collins Street MELBOURNE VIC 3000,-37.816305,144.962242,TPS-2015-9,Request for council satisfaction re removal of existing window and installation of an outside air louvre in finishes to match existing framework.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229845,No
119-121 Howard Street NORTH MELBOURNE VIC 3051,-37.8041776,144.9538528,TP-2011-522/C,Amend condition 16 to allow for a maximum of 70 patrons including an additional 20 patrons in the existing mezzanine floor area.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229730,Yes
2-48 Harbour Esplanade DOCKLANDS VIC 3008,-37.821836,144.948458,TP-2015-195,"Buildings and works for a temporary marquee for the use as a function centre and associated temporary, major promotional business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229735,Yes
16 Coleman Place CARLTON VIC 3053,-37.793386,144.972408,TP-2015-196,Buildings and works for the purpose of recladding the upper level of the dwelling and construction of a rooftop enclosure around air conditioning units,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229739,No
38-44 Barrett Street KENSINGTON VIC 3031,-37.798315,144.9346437,TP-2015-197,Change of use to a microbrewery (manufacturer of beer) including sale and consumption of liquor and reduction to car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229741,No
University of Melbourne 156-292 Grattan Street PARKVILLE VIC 3010,-37.7999598,144.9605636,TP-2013-767,Installation of two free-standing information signs with static illuminated display,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201615,Yes
Victoria Harbour Precinct 839-899 Collins Street DOCKLANDS VIC 3008,-37.8208296,144.9479048,TP-2013-768,Subdivision creating R-16 (part of Collins Street) on PS545345Y,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201631,Yes
69 Stubbs Street KENSINGTON VIC 3031,-37.7921824,144.9355825,TP-2013-761,Construction of Mezzanine floor for the purpose of storage with reduction of loading bay requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201521,Yes
